gamma lower_bound upper_bound valid
0.000100 -0.000100 0.000000 1
0.005124 -0.005124 0.000013 1
0.010148 -0.010146 0.000051 1
0.015172 -0.015165 0.000115 1
0.020196 -0.020180 0.000204 1
0.025221 -0.025188 0.000318 1
0.030245 -0.030189 0.000458 1
0.035269 -0.035181 0.000623 1
0.040293 -0.040161 0.000813 1
0.045317 -0.045130 0.001029 1
0.050341 -0.050085 0.001270 1
0.055365 -0.055024 0.001537 1
0.060389 -0.059947 0.001830 1
0.065414 -0.064851 0.002149 1
0.070438 -0.069736 0.002493 1
0.075462 -0.074600 0.002864 1
0.080486 -0.079441 0.003261 1
0.085510 -0.084258 0.003684 1
0.090534 -0.089050 0.004133 1
0.095558 -0.093815 0.004609 1
0.100582 -0.098552 0.005112 1
0.105607 -0.103260 0.005642 1
0.110631 -0.107937 0.006199 1
0.115655 -0.112583 0.006783 1
0.120679 -0.117195 0.007394 1
0.125703 -0.121774 0.008033 1
0.130727 -0.126317 0.008700 1
0.135751 -0.130823 0.009395 1
0.140775 -0.135293 0.010119 1
0.145799 -0.139723 0.010871 1
0.150824 -0.144115 0.011652 1
0.155848 -0.148465 0.012462 1
0.160872 -0.152775 0.013301 1
0.165896 -0.157042 0.014170 1
0.170920 -0.161266 0.015069 1
0.175944 -0.165446 0.015998 1
0.180968 -0.169582 0.016958 1
0.185992 -0.173672 0.017948 1
0.191017 -0.177715 0.018970 1
0.196041 -0.181712 0.020024 1
0.201065 -0.185662 0.021109 1
0.206089 -0.189564 0.022227 1
0.211113 -0.193417 0.023377 1
0.216137 -0.197221 0.024561 1
0.221161 -0.200975 0.025778 1
0.226185 -0.204680 0.027028 1
0.231210 -0.208334 0.028313 1
0.236234 -0.211938 0.029633 1
0.241258 -0.215491 0.030988 1
0.246282 -0.218992 0.032378 1
0.251306 -0.222442 0.033805 1
0.256330 -0.225840 0.035267 1
0.261354 -0.229186 0.036767 1
0.266378 -0.232480 0.038305 1
0.271403 -0.235721 0.039880 1
0.276427 -0.238910 0.041494 1
0.281451 -0.242047 0.043147 1
0.286475 -0.245132 0.044839 1
0.291499 -0.248164 0.046571 1
0.296523 -0.251143 0.048344 1
0.301547 -0.254071 0.050159 1
0.306571 -0.256945 0.052014 1
0.311595 -0.259768 0.053912 1
0.316620 -0.262539 0.055853 1
0.321644 -0.265257 0.057838 1
0.326668 -0.267924 0.059866 1
0.331692 -0.270539 0.061939 1
0.336716 -0.273103 0.064058 1
0.341740 -0.275616 0.066222 1
0.346764 -0.278077 0.068432 1
0.351788 -0.280489 0.070690 1
0.356813 -0.282849 0.072996 1
0.361837 -0.285160 0.075350 1
0.366861 -0.287421 0.077753 1
0.371885 -0.289632 0.080206 1
0.376909 -0.291795 0.082710 1
0.381933 -0.293908 0.085264 1
0.386957 -0.295973 0.087871 1
0.391981 -0.297991 0.090530 1
0.397006 -0.299960 0.093242 1
0.402030 -0.301883 0.096008 1
0.407054 -0.303759 0.098828 1
0.412078 -0.305588 0.101704 1
0.417102 -0.307371 0.104636 1
0.422126 -0.309109 0.107625 1
0.427150 -0.310802 0.110671 1
0.432174 -0.312451 0.113776 1
0.437198 -0.314055 0.116939 1
0.442223 -0.315615 0.120163 1
0.447247 -0.317133 0.123446 1
0.452271 -0.318607 0.126791 1
0.457295 -0.320040 0.130198 1
0.462319 -0.321430 0.133668 1
0.467343 -0.322780 0.137201 1
0.472367 -0.324088 0.140798 1
0.477391 -0.325356 0.144460 1
0.482416 -0.326585 0.148188 1
0.487440 -0.327774 0.151983 1
0.492464 -0.328925 0.155844 1
0.497488 -0.330037 0.159774 1
0.502512 -0.331111 0.163773 1
0.507536 -0.332148 0.167841 1
0.512560 -0.333148 0.171979 1
0.517584 -0.334112 0.176188 1
0.522609 -0.335040 0.180469 1
0.527633 -0.335933 0.184823 1
0.532657 -0.336791 0.189250 1
0.537681 -0.337615 0.193751 1
0.542705 -0.338405 0.198327 1
0.547729 -0.339162 0.202978 1
0.552753 -0.339886 0.207705 1
0.557777 -0.340578 0.212510 1
0.562802 -0.341238 0.217392 1
0.567826 -0.341866 0.222353 1
0.572850 -0.342464 0.227393 1
0.577874 -0.343032 0.232513 1
0.582898 -0.343569 0.237713 1
0.587922 -0.344078 0.242995 1
0.592946 -0.344557 0.248359 1
0.597970 -0.345008 0.253805 1
0.602994 -0.345432 0.259335 1
0.608019 -0.345828 0.264949 1
0.613043 -0.346197 0.270647 1
0.618067 -0.346539 0.276431 1
0.623091 -0.346856 0.282301 1
0.628115 -0.347147 0.288258 1
0.633139 -0.347413 0.294302 1
0.638163 -0.347654 0.300434 1
0.643187 -0.347872 0.306655 1
0.648212 -0.348066 0.312965 1
0.653236 -0.348236 0.319364 1
0.658260 -0.348384 0.325854 1
0.663284 -0.348510 0.332435 1
0.668308 -0.348614 0.339108 1
0.673332 -0.348697 0.345872 1
0.678356 -0.348759 0.352729 1
0.683380 -0.348800 0.359680 1
0.688405 -0.348822 0.366724 1
0.693429 -0.348824 0.373862 1
0.698453 -0.348807 0.381095 1
0.703477 -0.348772 0.388423 1
0.708501 -0.348719 0.395847 1
0.713525 -0.348647 0.403368 1
0.718549 -0.348559 0.410984 1
0.723573 -0.348454 0.418698 1
0.728597 -0.348333 0.426509 1
0.733622 -0.348196 0.434419 1
0.738646 -0.348044 0.442426 1
0.743670 -0.347876 0.450533 1
0.748694 -0.347695 0.458738 1
0.753718 -0.347499 0.467043 1
0.758742 -0.347290 0.475447 1
0.763766 -0.347068 0.483952 1
0.768790 -0.346834 0.492557 1
0.773815 -0.346587 0.501263 1
0.778839 -0.346329 0.510070 1
0.783863 -0.346060 0.518978 1
0.788887 -0.345780 0.527988 1
0.793911 -0.345491 0.537100 1
0.798935 -0.345192 0.546314 1
0.803959 -0.344883 0.555631 1
0.808983 -0.344567 0.565050 1
0.814008 -0.344242 0.574571 1
0.819032 -0.343910 0.584196 1
0.824056 -0.343571 0.593924 1
0.829080 -0.343226 0.603755 1
0.834104 -0.342875 0.613689 1
0.839128 -0.342519 0.623727 1
0.844152 -0.342158 0.633869 1
0.849176 -0.341794 0.644114 1
0.854201 -0.341426 0.654464 1
0.859225 -0.341056 0.664917 1
0.864249 -0.340683 0.675474 1
0.869273 -0.340310 0.686136 1
0.874297 -0.339936 0.696901 1
0.879321 -0.339562 0.707771 1
0.884345 -0.339189 0.718744 1
0.889369 -0.338818 0.729822 1
0.894393 -0.338450 0.741004 1
0.899418 -0.338085 0.752291 1
